a	common particle / a
and	English conjunction
are	English verb
at	English preposition
ba	with / and
be	English verb
been	English verb
being	English verb
but	English conjunction
by	English preposition
did	English verb
do	English verb
does	English verb
dzũmã	common noun / work
e	common particle / he-she-it
eza	person / human
ezhi	common noun / speech or language
for	English preposition
from	English preposition
ga	negation / not
gayi	common noun / name form
gã	particle / emphasis
had	English verb
has	English verb
have	English verb
in	English preposition
is	English verb
ke	and / then
la	linking particle / to
n	short particle / nasal or linker
nupeci	Nupe person / Nupe identity
nyaa	common adverb / very
nã	particle / common function word
of	English preposition
on	English preposition
or	English conjunction
sokó	common noun / word form
the	English article
to	English preposition / infinitive marker
wa	marker / verb particle
was	English verb
were	English verb
will	English modal
with	English preposition
would	English modal
wũyĩ	common noun / place or noun form
yi	you / they
ŋ	nasal sound / orthographic symbol
